variant,objective,parameter_group,pair,n,mean_cosine,median_cosine,std_cosine,negative_fraction
full_control,localization,deep_backbone,medium-large,16,0.09061800874769688,0.07324455678462982,0.11680628269475134,0.25
full_control,localization,deep_backbone,small-large,16,0.004413622649735771,-0.013654922135174274,0.06607476145113529,0.5625
full_control,localization,deep_backbone,small-medium,16,0.036846901348326355,0.01882173726335168,0.20931566573139063,0.4375
full_control,localization,neck,medium-large,16,0.019490065285935998,0.025637242011725903,0.0834535164735163,0.3125
full_control,localization,neck,small-large,16,0.0018348181765759364,0.00192967988550663,0.01664786169722689,0.4375
full_control,localization,neck,small-medium,16,0.009412616782356054,0.013160036643967032,0.10507830792384394,0.4375
full_control,localization,shared_features,medium-large,16,0.10447722859680653,0.07194391638040543,0.185716110020721,0.3125
full_control,localization,shared_features,small-large,16,0.021768016915302724,0.02035402785986662,0.0567739140788569,0.4375
full_control,localization,shared_features,small-medium,16,0.12275614403188229,0.1367376185953617,0.15264497962071258,0.25
full_control,localization,shared_predictors,medium-large,16,0.1387611407553777,0.11880644783377647,0.1627617150448412,0.1875
full_control,localization,shared_predictors,small-large,16,0.009389076352817938,-0.005690386751666665,0.08205473667289576,0.5
full_control,localization,shared_predictors,small-medium,16,0.06970164913218468,0.11797577515244484,0.15792683334713228,0.3125
full_control,total,deep_backbone,medium-large,16,0.8707725442945957,0.9375643134117126,0.14028069805031626,0.0
full_control,total,deep_backbone,small-large,16,0.3421807889826596,0.3155512809753418,0.2967567491674571,0.125
full_control,total,deep_backbone,small-medium,16,0.22048031608574092,0.2532961294054985,0.23358181749054785,0.1875
full_control,total,neck,medium-large,16,0.8191369157284498,0.9449359774589539,0.20831869167832223,0.0
full_control,total,neck,small-large,16,0.41570965957362205,0.4264347106218338,0.3016731861428956,0.125
full_control,total,neck,small-medium,16,0.2439885528292507,0.31926029920578003,0.23406844235705754,0.1875
full_control,total,shared_features,medium-large,16,0.9383065775036812,0.9633064270019531,0.06817810436443056,0.0
full_control,total,shared_features,small-large,16,0.5544257171131903,0.6492281854152679,0.3372424490059259,0.125
full_control,total,shared_features,small-medium,16,0.42712532344739884,0.4882282018661499,0.3110087124184624,0.0625
full_control,total,shared_predictors,medium-large,16,0.9359669536352158,0.9799821078777313,0.08522963101090554,0.0
full_control,total,shared_predictors,small-large,16,0.5105562121607363,0.5068953335285187,0.30458899691896574,0.125
full_control,total,shared_predictors,small-medium,16,0.38947722129523754,0.43633291125297546,0.2821978755432883,0.125
p4only_candidate,localization,deep_backbone,medium-large,16,0.06059973640367389,0.047351276502013206,0.13483273506707363,0.3125
p4only_candidate,localization,deep_backbone,small-large,16,0.014893768238835037,-0.0067065448965877295,0.1004909891858375,0.625
p4only_candidate,localization,deep_backbone,small-medium,16,0.0860707475876552,0.09626169502735138,0.19373898138106657,0.3125
p4only_candidate,localization,neck,medium-large,16,0.04225594843592262,0.04470390826463699,0.09750669548963259,0.25
p4only_candidate,localization,neck,small-large,16,-0.0014969094227126334,0.0017973950307350606,0.0244715681873671,0.4375
p4only_candidate,localization,neck,small-medium,16,0.03251967667893041,0.053857360035181046,0.08635930985328631,0.25
p4only_candidate,localization,shared_features,medium-large,16,0.08796323341084644,0.14185748249292374,0.2011007903999611,0.25
p4only_candidate,localization,shared_features,small-large,16,0.017284371715504676,0.023874380625784397,0.08524357503962886,0.375
p4only_candidate,localization,shared_features,small-medium,16,0.09716415451839566,0.10602652654051781,0.13891194965482054,0.1875
p4only_candidate,localization,shared_predictors,medium-large,16,0.062251383787952363,0.05279383435845375,0.18166155533315273,0.3125
p4only_candidate,localization,shared_predictors,small-large,16,0.011350623215548694,0.006446742685511708,0.10695004375346419,0.375
p4only_candidate,localization,shared_predictors,small-medium,16,0.07734190544579178,0.10493592917919159,0.1430546007222895,0.3125
p4only_candidate,total,deep_backbone,medium-large,16,0.8805917948484421,0.9374557137489319,0.12415151907707854,0.0
p4only_candidate,total,deep_backbone,small-large,16,0.41186852555256337,0.48229002952575684,0.28460158015770803,0.0625
p4only_candidate,total,deep_backbone,small-medium,16,0.28382663475349545,0.3085056021809578,0.23099183874699689,0.125
p4only_candidate,total,neck,medium-large,16,0.8164927959442139,0.9210278987884521,0.18263785789372347,0.0
p4only_candidate,total,neck,small-large,16,0.4397760534193367,0.4375460743904114,0.3024411135649682,0.125
p4only_candidate,total,neck,small-medium,16,0.24565087410155684,0.2310408279299736,0.19234100020692285,0.125
p4only_candidate,total,shared_features,medium-large,16,0.9329898096621037,0.9558146297931671,0.06837764742520627,0.0
p4only_candidate,total,shared_features,small-large,16,0.5325025171041489,0.6041269302368164,0.34641537202501405,0.125
p4only_candidate,total,shared_features,small-medium,16,0.4058287590742111,0.44725944101810455,0.2919164196839393,0.125
p4only_candidate,total,shared_predictors,medium-large,16,0.9420652277767658,0.9798609614372253,0.08078745761250893,0.0
p4only_candidate,total,shared_predictors,small-large,16,0.49076756555587053,0.572908490896225,0.3544744677756501,0.125
p4only_candidate,total,shared_predictors,small-medium,16,0.38517532125115395,0.3590574264526367,0.34529447469637076,0.125
