stage,class_id,class_name,precision,recall,ap50,ap50_95
baseline,0,pedestrian,0.566904707875309,0.4280868385345997,0.43303014408827223,0.1917208309268198
full,0,pedestrian,0.5744654874670732,0.4758028041610131,0.4915275492389241,0.22460998061406384
lscd,0,pedestrian,0.580847104926405,0.4585029398462234,0.47839634570263523,0.2189458426312622
mffpn,0,pedestrian,0.6119635463593851,0.433288104929896,0.47245163023955017,0.2154447020075468
baseline,1,people,0.5773258520191337,0.29717073170731706,0.31754280129419643,0.11414192732542543
full,1,people,0.5541405282410705,0.37365853658536585,0.3638185948023562,0.14161832431870533
lscd,1,people,0.5653543750308198,0.34673170731707315,0.35744522617149743,0.13930070025890612
mffpn,1,people,0.5718538346771264,0.35278048780487803,0.3712076253745718,0.14527447768450363
baseline,2,bicycle,0.2890368070931013,0.1642598816285066,0.13627175101272465,0.059234980188673014
full,2,bicycle,0.3458431623346852,0.1585081585081585,0.13749902970045402,0.05917353178821823
lscd,2,bicycle,0.30234729567701346,0.15384615384615385,0.1260288048597734,0.05256212330981406
mffpn,2,bicycle,0.3254864392816097,0.18725718725718726,0.14847068454176227,0.061509862267911275
baseline,3,car,0.7188282331033669,0.7953640500568828,0.7908300189641891,0.5461722566868018
full,3,car,0.7356025669814484,0.8165529010238908,0.8219824433832408,0.5661120496310564
lscd,3,car,0.7400938197262511,0.8054607508532423,0.8178765022436063,0.5631449228753207
mffpn,3,car,0.7382203456626439,0.8104379977246872,0.8210050519069882,0.5714089759254906
baseline,4,van,0.556330592697482,0.43848101265822786,0.4571244011243356,0.31787413886097815
full,4,van,0.5291638052999745,0.4791432077060635,0.4637407629806749,0.32680954313790245
lscd,4,van,0.53944198243709,0.4582278481012658,0.4498879245403218,0.3158605200372545
mffpn,4,van,0.5732554895424016,0.4410126582278481,0.45539943967712115,0.3225738663122285
baseline,5,truck,0.5748185537484362,0.3893333333333333,0.3802617660446659,0.2510105622115913
full,5,truck,0.5404742693200641,0.3904843169936699,0.38702784117281014,0.24929957205202086
lscd,5,truck,0.5135850484310924,0.392,0.369104285524517,0.2365586706279025
mffpn,5,truck,0.5655403943419879,0.38666666666666666,0.3887294884837732,0.24731792995407642
baseline,6,tricycle,0.44696030626264965,0.29388685599818415,0.2846470500591789,0.1552270785264032
full,6,tricycle,0.4718584465277392,0.29282296650717704,0.2847804752720401,0.16417461199699768
lscd,6,tricycle,0.4432316881658172,0.3062200956937799,0.2511319220606923,0.139877348489122
mffpn,6,tricycle,0.46251440455944065,0.291866028708134,0.26799384443277696,0.15009970433210001
baseline,7,awning-tricycle,0.3323135030975795,0.18421052631578946,0.14729767376319947,0.09158127907747479
full,7,awning-tricycle,0.2817607209527229,0.18582396891814368,0.1274093405754556,0.08003488398657585
lscd,7,awning-tricycle,0.26542205992098805,0.19924812030075187,0.12223566578931193,0.07928426236105268
mffpn,7,awning-tricycle,0.2900073373548866,0.15789473684210525,0.11879423276727213,0.0739190807492491
baseline,8,bus,0.7333673505234484,0.5059760956175299,0.5573412468752257,0.39777687897877473
full,8,bus,0.7047867003221516,0.549800796812749,0.56629340462042,0.4035815057894889
lscd,8,bus,0.7564148460084515,0.545816733067729,0.5585764013731325,0.4015750269516455
mffpn,8,bus,0.7597001435626491,0.5378486055776892,0.5661479360148227,0.4143071277449277
baseline,9,motor,0.5264042753315178,0.4797718442587012,0.45974366445252546,0.1983959630789866
full,9,motor,0.5597530186538952,0.5073679901760131,0.49563843038962263,0.218380206143142
lscd,9,motor,0.6132865060703201,0.47842968141812003,0.49346714445806267,0.21879233569139767
mffpn,9,motor,0.5896147056998177,0.49918133442488744,0.4977230259504659,0.22516026488303614
