stage,class_id,class_name,area,ap,ap50,ap75,ar_max_det
baseline,0,pedestrian,all,0.19509819554620186,0.4350238145713251,0.14350964598289911,0.28932609678878335
baseline,0,pedestrian,small,0.15495213194120003,0.3807070587533956,0.09866378571285737,0.2522075910147173
baseline,0,pedestrian,medium,0.44265569266654214,0.7856517827226219,0.4316186084156464,0.5468837209302325
baseline,0,pedestrian,large,0.7437109089647864,0.9651598148945328,0.8554840153944487,0.8130434782608695
baseline,1,people,all,0.11677593450452664,0.3229409112673452,0.054681302411663,0.22643902439024394
baseline,1,people,small,0.10708023232092115,0.3042792283315449,0.04592516945151754,0.2090045346577413
baseline,1,people,medium,0.21991743282859944,0.5102861762378337,0.14926850612119624,0.39038854805725975
baseline,1,people,large,0.2318019801980198,0.32673267326732697,0.3217821782178219,0.76
baseline,2,bicycle,all,0.06319863615613205,0.13987783689482494,0.04729983607648905,0.20124320124320122
baseline,2,bicycle,small,0.03659587530160707,0.09699592526279632,0.019654721260280145,0.15555555555555556
baseline,2,bicycle,medium,0.18229976045519866,0.3444025507291282,0.1750565972144984,0.4060606060606061
baseline,2,bicycle,large,0.12217821782178216,0.2653465346534653,0.09702970297029702,0.4666666666666666
baseline,3,car,all,0.5460806543472744,0.7885597980271343,0.6040252934238606,0.6107935153583618
baseline,3,car,small,0.34451355840167847,0.6289188905341617,0.3477175889478615,0.43030390738060786
baseline,3,car,medium,0.7082294351749875,0.9228370773490107,0.8235073328957822,0.7705254901960785
baseline,3,car,large,0.8647832431501216,0.9634794078084632,0.9402921239806596,0.9053915275994866
baseline,4,van,all,0.319382839020105,0.45770841671492096,0.3644773488811394,0.5150886075949368
baseline,4,van,small,0.13424872312990768,0.24792555581866105,0.13118853235588704,0.32988260405549624
baseline,4,van,medium,0.4768869167086097,0.6428919874662962,0.5682506989386573,0.6720476706392199
baseline,4,van,large,0.5453763834561194,0.6227989211679251,0.6052529232046275,0.7652173913043477
baseline,5,truck,all,0.2541220822647539,0.38197973552990006,0.27296414138653435,0.4088
baseline,5,truck,small,0.09472245632661544,0.184137857316274,0.08460331215809856,0.23702422145328716
baseline,5,truck,medium,0.2832558551874387,0.42094509577561545,0.30939555280643694,0.46336898395721926
baseline,5,truck,large,0.623453340588689,0.8091421922858535,0.7103052625802769,0.7448275862068965
baseline,6,tricycle,all,0.15796762082626672,0.2868338216910684,0.15475485376421216,0.34114832535885165
baseline,6,tricycle,small,0.11370493519751096,0.23040974700551406,0.10523902289905178,0.277133655394525
baseline,6,tricycle,medium,0.22195989908648744,0.3753178621478509,0.22330091126487742,0.4283980582524272
baseline,6,tricycle,large,0.4646148762555886,0.619638654846917,0.5686439761988621,0.6583333333333334
baseline,7,awning-tricycle,all,0.09360801418217038,0.14904746276856853,0.1004793410751485,0.2986842105263158
baseline,7,awning-tricycle,small,0.067355201062508,0.11802649567991348,0.061957141571144,0.23147540983606557
baseline,7,awning-tricycle,medium,0.13800071903867478,0.20267318457555486,0.16395086193828712,0.3878378378378379
baseline,7,awning-tricycle,large,0.14271986022131625,0.17850902737332552,0.14356435643564355,0.44000000000000006
baseline,8,bus,all,0.3990397091954871,0.5567735117576492,0.4617901327441187,0.47729083665338645
baseline,8,bus,small,0.125470794514362,0.2318082236372282,0.13301147685801298,0.2327586206896551
baseline,8,bus,medium,0.525207844329364,0.7317090280456788,0.6261973487168969,0.6262135922330098
baseline,8,bus,large,0.8444240363301428,0.9784598258965066,0.9463867815352964,0.884375
baseline,9,motor,all,0.20113597308287556,0.4617687101225426,0.14342309494207653,0.35198526401964797
baseline,9,motor,small,0.17368116796051383,0.4269753357996738,0.1061661286297658,0.3156108597285067
baseline,9,motor,medium,0.3272823930919876,0.6323120818181812,0.3059114532278818,0.5118756936736959
baseline,9,motor,large,0.2334937673779743,0.6240630135888083,0.09801980198019801,0.4428571428571429
mffpn,0,pedestrian,all,0.21796643122347986,0.47603310100263185,0.16530137251373697,0.3377657168701945
mffpn,0,pedestrian,small,0.18539689247052274,0.4274183130581205,0.12484892197499066,0.30622256648592827
mffpn,0,pedestrian,medium,0.434628912303926,0.7881112640003958,0.4368226650455774,0.5571162790697675
mffpn,0,pedestrian,large,0.5551808014706984,0.845450455103225,0.6746808465347275,0.7217391304347827
mffpn,1,people,all,0.14842160865171544,0.3760336214421611,0.07856907393067183,0.27824390243902436
mffpn,1,people,small,0.14031398626845035,0.36463147825426606,0.07014618626843927,0.2620600302310516
mffpn,1,people,medium,0.23410482982246889,0.518384647457657,0.16716281813289205,0.43190184049079755
mffpn,1,people,large,0.15619989368354772,0.25860443187175863,0.19731258840169733,0.56
mffpn,2,bicycle,all,0.06448426041979234,0.15469922174003065,0.04332283384030035,0.23356643356643358
mffpn,2,bicycle,small,0.0423819528492018,0.11653126721968747,0.019197721193313297,0.18879392212725546
mffpn,2,bicycle,medium,0.17435800747425606,0.3438616487271633,0.16494456055187437,0.43852813852813854
mffpn,2,bicycle,large,0.0042597540829110905,0.008858780614903595,0.0,0.16666666666666666
mffpn,3,car,all,0.5709343374454419,0.8184175994629938,0.6375461926540703,0.6447098976109216
mffpn,3,car,small,0.3890691750458008,0.6796644162734671,0.4029009631479221,0.4964544138929088
mffpn,3,car,medium,0.7124099068184591,0.9255412042148058,0.8334881355830159,0.7751529411764707
mffpn,3,car,large,0.8486949055095774,0.9651383375768899,0.9360272233134873,0.8925545571245186
mffpn,4,van,all,0.32389379726815226,0.4559484708210128,0.3716954922895209,0.5176708860759494
mffpn,4,van,small,0.14639172396727904,0.252906151093726,0.14946642398872667,0.3572038420490929
