stage,display_name,area,object_count,ap,ap50,ap75,ar_max_det
baseline,YOLOv11s,all,38759,0.23464096591257938,0.3980514019345279,0.23474049906881414,0.37207990819337283
baseline,YOLOv11s,small,26586,0.13523250761568245,0.28501843181391634,0.11341268798444767,0.26709569597661575
baseline,YOLOv11s,medium,11105,0.35256959485678907,0.5569026826867771,0.37764578715401603,0.5203600201837587
baseline,YOLOv11s,large,1068,0.481655661436454,0.6353330065783124,0.5286761122498131,0.6880712126228744
mffpn,+ MF-FPN,all,38759,0.24459344705244365,0.4125799846834211,0.24756862060969287,0.3902294173342027
mffpn,+ MF-FPN,small,26586,0.15634963995814963,0.3114502514540661,0.13754696452845308,0.29708648025802764
mffpn,+ MF-FPN,medium,11105,0.35280313172796873,0.556132374873208,0.3836228920577591,0.5241507914214868
mffpn,+ MF-FPN,large,1068,0.40470662835038784,0.5452949438486022,0.4649507644909215,0.5843923827846301
lscd,+ LSCD,all,38759,0.2386962872196919,0.4040293228264068,0.23994486916053118,0.3884575384384012
lscd,+ LSCD,small,26586,0.15267931523927,0.3082240229068522,0.1314371871341055,0.2917207024966471
lscd,+ LSCD,medium,11105,0.34212066641968153,0.5400955676628559,0.3669810713933448,0.5262350279917523
lscd,+ LSCD,large,1068,0.4571914562134279,0.5951681344676032,0.5204710314671043,0.6339419711735459
full,+ Inner-WIoU,all,38759,0.2455161428806138,0.4156263901472166,0.249820813363378,0.39373494382798563
full,+ Inner-WIoU,small,26586,0.15615924245660287,0.3181689107492327,0.1361800090765847,0.29880267740567834
full,+ Inner-WIoU,medium,11105,0.3523928910785692,0.5541401626224444,0.38276394427254207,0.5289232221701053
full,+ Inner-WIoU,large,1068,0.460438486117977,0.617330936752409,0.5166327043864787,0.6406335823640995
